unique_conversation_id,predictions
648044,3.322583681807301e-05
959338,0.9999560696054484
171345,2.5232091251993532e-05
885457,0.9999641872102122
741256,0.9997687153510003
242322,0.9999558219614921
337944,2.921775745704899e-05
931434,0.9999010866557986
429401,3.4126346261653076e-05
648010,3.3150057361445766e-05
382537,2.853350160837032e-05
881587,2.3823994414677974e-05
391534,5.693217905283332e-05
442553,3.445427042999036e-05
945215,7.471604712727897e-05
570151,2.926272175585446e-05
568228,2.541229449886676e-05
44670,3.739445726694046e-05
285523,0.9999251587254392
922057,9.425385597512113e-05
652015,3.002873888367488e-05
605548,2.5806807506757496e-05
383034,3.1023410941598686e-05
786951,0.9999362817314754
235861,2.939714870375142e-05
848858,0.9999277530466648
876598,2.9821422454894595e-05
833054,0.999926879914602
239153,0.9999242933273688
792263,2.9494684809176758e-05
785555,5.3058767671789715e-05
23334,6.88571654911262e-05
307165,3.2210722143199566e-05
763085,3.352418283267172e-05
425106,3.3887382689773455e-05
828938,0.9998683901830967
879483,3.4367684524575225e-05
605883,3.644197497300048e-05
13426,5.7569561335506415e-05
798173,6.407066523543675e-05
723379,2.9113013819942018e-05
449519,3.688305753807007e-05
346627,3.7598857274251846e-05
780693,2.355736632903287e-05
938608,2.4718584431498567e-05
480829,2.852088608867852e-05
312459,2.402941317797431e-05
424333,2.4569325693536703e-05
588636,0.999879415527766
215051,0.9999381574210641
527098,4.220849827489275e-05
425546,3.7640653593208423e-05
841271,2.604267967976538e-05
381848,2.983238842401372e-05
731756,5.597724021410635e-05
492443,2.4088550960053656e-05
466754,2.7634657558130155e-05
267745,3.7061899414458814e-05
391681,2.491944416846692e-05
585655,2.5883126936607858e-05
881098,0.9997172318614824
449700,2.77227042111992e-05
528131,2.4760008168120264e-05
254939,0.9998591281441709
125241,0.9998093537057023
49632,0.0009161287259936289
608875,5.8669747770802686e-05
294179,7.211176031712381e-05
309188,3.3519499691474676e-05
794423,3.6192941251832696e-05
131210,2.9291192927418346e-05
714503,3.146429450634006e-05
541427,3.0103866903072666e-05
484810,4.2611846304459274e-05
655377,0.9999151165884816
358271,3.5868035464607084e-05
171244,2.7888229093641835e-05
740265,2.9357338164638734e-05
293648,2.8723240683396142e-05
211329,2.811446920247862e-05
889769,4.8939631473298924e-05
668695,2.6910858292520835e-05
860457,2.521552805087285e-05
587011,4.194984484877631e-05
53681,3.253685144374563e-05
228026,6.0059606822857665e-05
222611,2.9099870680134287e-05
215570,2.634157571035281e-05
83031,3.497858112249408e-05
953398,3.23031355180497e-05
956781,4.6893817969877364e-05
481063,2.853343561076917e-05
598354,3.74223762993447e-05
207635,3.4459011766537516e-05
595512,3.657629892402673e-05
303340,3.3534378814907524e-05
465617,2.813295148779973e-05
455286,3.5257739425515125e-05
707523,3.4404061319854215e-05
373722,3.252026201389419e-05
401461,3.4140462986684264e-05
379272,2.793757968120104e-05
31428,0.9999698523162261
968626,0.00026400897826611263
391049,0.001977008121211479
91187,4.182046896963781e-05
831440,2.9228200372215506e-05
938475,0.9999618844574553
412066,3.6724599750324466e-05
945784,0.9988761067829887
220214,0.0003193890201499372
601794,4.133899517789934e-05
898634,2.9666659343404243e-05
859332,0.0030988266207368632
682715,2.954802090255295e-05
459914,0.9999342334766291
838777,0.9999587532783316
615020,5.118848471046334e-05
682561,0.0002444871052290695
378703,5.440433454282541e-05
599249,6.649097811941892e-05
527588,6.932971254565173e-05
487201,2.5479125218556604e-05
712791,2.5383369332864897e-05
494161,4.6873521020735396e-05
596664,2.9153310906568245e-05
776830,2.6688262000114535e-05
194222,7.3707341434179e-05
475235,0.9999584880074985
312383,0.00016948260483302683
795320,0.00013841589946978847
53214,2.5165618355425095e-05
154025,3.6725239654407916e-05
738355,3.0140278973227094e-05
750545,3.152656547391523e-05
186745,7.265515056551316e-05
471633,3.228028807055957e-05
543031,3.737295255149167e-05
423931,4.104349440871898e-05
84340,2.8631939882579738e-05
189253,6.092964407136917e-05
808370,3.2231425181723905e-05
487985,0.9996553910123523
755501,3.019505384164983e-05
133472,3.0166252925992987e-05
940475,3.791233388251887e-05
515632,0.9999492829441305
90883,2.7588587798251625e-05
146181,0.99991619134848
174859,3.366892827920056e-05
577361,2.8617309910200388e-05
841493,2.573611542924546e-05
256053,3.47233106941853e-05
133573,2.9024079939015922e-05
361584,4.487945392781993e-05
288688,3.1618654830154525e-05
338073,2.8832350660484713e-05
645470,2.9408961573163542e-05
164517,3.666035326018994e-05
692101,4.366054607092919e-05
383432,2.5960384355037393e-05
543242,2.8033244449898658e-05
532652,3.2912625634600095e-05
493748,0.9999418535897892
247224,3.155543587939931e-05
829891,2.6202469915877912e-05
905257,3.34177963598083e-05
256731,4.719382570486086e-05
810113,2.355127369399081e-05
740578,0.9998612922286843
654462,0.9995973419625082
286308,0.00036609123289545637
25839,0.9996904090567637
12056,2.671770161606197e-05
867079,2.711654217222557e-05
813089,3.3280269510382544e-05
906920,3.0564712023865264e-05
683658,2.6573585420220782e-05
721611,0.9998315079144845
304411,0.9995454085963676
328512,2.869311801560371e-05
915190,6.10966695850311e-05
13466,0.9996328105149054
758969,3.4781068864138334e-05
837938,0.00013587189282427748
546492,3.803645678769358e-05
296453,5.087114548702479e-05
829069,3.1399274093829334e-05
852014,3.363664302105254e-05
249049,3.3560731051736085e-05
627364,3.3411737523457923e-05
148630,0.9972954475968636
823344,2.6719310024113026e-05
516624,3.051808325463894e-05
152229,3.713661548897354e-05
765914,0.99477634050734
705921,9.701930461010384e-05
886504,3.435545313411228e-05
904300,2.599767225626987e-05
425380,6.688725997095808e-05
177612,2.3888076318592595e-05
803497,2.4180729803042667e-05
557515,2.5694815719328457e-05
189622,3.336504437208652e-05
746045,3.237377627903073e-05
468849,4.780182334141906e-05
740089,2.6716983426543243e-05
830549,0.00011739533815366564
21819,0.9998019516183315
17597,3.482432508247727e-05
122481,2.3600844194302995e-05
593089,0.9999144087953148
521412,0.0024872589174534596
58968,2.93725043909308e-05
393447,2.8948187468896253e-05
338923,4.760318287471544e-05
255171,3.178168793872436e-05
96727,2.4454354591709585e-05
99379,3.0391316294982438e-05
215093,3.1360602645583946e-05
763619,3.0092700479798412e-05
10840,2.850932422971425e-05
762802,0.00011664116067515974
771103,4.163846354645778e-05
419441,0.9999185945138482
945322,5.759127576253211e-05
558666,3.3720309321121826e-05
328498,0.9998662893609683
324783,0.9999731656233601
907124,2.4019043151799078e-05
840991,4.541628263836117e-05
717388,0.0007000890027376251
357090,2.7373284150076505e-05
102510,7.648314819422033e-05
99768,2.4577964037395213e-05
690206,2.336951909879743e-05
8782,3.991242033732104e-05
898334,0.00012984013720257582
425244,2.704911042448587e-05
132066,8.67919192693857e-05
473809,2.6701288209824273e-05
265433,2.613143129975228e-05
363831,3.0795755918723686e-05
386189,2.5978359230396888e-05
799477,7.34365269146393e-05
578789,0.00010161117722918512
172955,0.9996484916059327
186635,2.943675746512984e-05
186120,3.327231244065863e-05
726562,2.6892944521228905e-05
931089,7.718909455415065e-05
594351,3.9010173758493204e-05
530255,2.6807960308921642e-05
956964,0.9998076025088384
946659,2.9407093473316145e-05
367336,0.9999158593079234
119834,3.153168011671814e-05
524726,0.9999010866557986
842346,4.066274555820348e-05
485689,0.9998405580056696
650540,3.299452063143483e-05
